uniprot_id,species
A0A8D0U7W4,Sus scrofa
A0A8D0U9X2,Sus scrofa
A0A8D0WTY6,Sus scrofa
A0A8D1IV87,Sus scrofa
A0A8D1JIE9,Sus scrofa
A0A8D1K5J7,Sus scrofa
A0A8D1LID8,Sus scrofa
A0A8D1P1R9,Sus scrofa
A0A8D1P1W8,Sus scrofa
A0A8D1SFL6,Sus scrofa
A0A8D1SV08,Sus scrofa
A0A8D1U6B4,Sus scrofa
A0A8D1WTM7,Sus scrofa
A0A8D1XV54,Sus scrofa
A0A8D1Y6I3,Sus scrofa
A0A8D2BHH4,Sus scrofa
A0A8D2CCV0,Sus scrofa
A0A8I3NGK5,Canis lupus familiaris
A0A8I3P716,Canis lupus familiaris
A0A8I3PSD2,Canis lupus familiaris
A0A8I3Q0U8,Canis lupus familiaris
A0A8I3WCV6,Callithrix jacchus
A0A8I4A1N5,Callithrix jacchus
A0A8I5ZM27,Rattus norvegicus
A0A8I5ZSU4,Rattus norvegicus
A0A8I6ACC7,Rattus norvegicus
A0A8I6AES2,unresolved_or_inactive
A0A8I6AN94,Rattus norvegicus
A0A8J0R365,Xenopus tropicalis
A0A8J0SM24,Xenopus tropicalis
A0A8J1IQP6,Xenopus tropicalis
A0A8J1J5I8,Xenopus tropicalis
A0A8J1J5S8,Xenopus tropicalis
A0A8J1JNI4,Xenopus tropicalis
A0A8J8XW40,Callithrix jacchus
A0A8M1N2R3,Danio rerio
A0A8M1QUW7,unresolved_or_inactive
A0A8M2B8K5,Danio rerio
A0A8M2BKS2,Danio rerio
A0A8M6YXI3,Danio rerio
A0A8M9Q799,Danio rerio
A0A8N7UW23,Danio rerio
A0A8P0NBX3,Canis lupus familiaris
A0A8Q3WM52,Homo sapiens
A0A8T2KM66,Astyanax mexicanus
A0A8T2KS42,Astyanax mexicanus
A0A8T2KYU5,Astyanax mexicanus
A0A8T2L3Z6,Astyanax mexicanus
A0A8T2L6V9,Astyanax mexicanus
A0A8T2L9S7,Astyanax mexicanus
A0A8T2LCI4,Astyanax mexicanus
A0A8T2LFU0,Astyanax mexicanus
A0A8T2LIB6,Astyanax mexicanus
A0A8T2LPW8,Astyanax mexicanus
A0A8T2LTQ9,Astyanax mexicanus
A0A8T2M569,Astyanax mexicanus
A0A8T2MA00,Astyanax mexicanus
A0A8T2MBC7,Astyanax mexicanus
A0A8T2MJ36,Astyanax mexicanus
A0A8U0NUT8,Mustela putorius furo
A0A8U0RM66,Mustela putorius furo
A0A8U0RTY5,Mustela putorius furo
A0A8V0X3D6,Gallus gallus
A0A8V0XRL8,Gallus gallus
A0A8V0XZ04,Gallus gallus
A0A8V0Y095,Gallus gallus
A0A8V0Y1H7,Gallus gallus
A0A8V0YDY2,Gallus gallus
A0A8V0YKC3,Gallus gallus
A0A8V0YP71,Gallus gallus
A0A8V0ZXM1,Gallus gallus
A0A8V0ZYW8,Gallus gallus
A0A9J7F6F6,Cricetulus griseus
A0A9J7FUZ5,Cricetulus griseus
A0A9J7GMA8,Cricetulus griseus
A0A9J7JII6,Cricetulus griseus
A0A9J7K381,Cricetulus griseus
A0A9L0QZ97,Equus caballus
A0A9L0R7K1,Equus caballus
A0A9L0S4L2,Equus caballus
A0A9L0SIK9,Equus caballus
A0A9L0SSY3,Equus caballus
A0A9L0SWK7,Equus caballus
A0AAA9S2K0,Bos taurus
A0AAA9S5S1,unresolved_or_inactive
A0AAA9SLH3,Bos taurus
A0AAA9SS12,Bos taurus
A0AAA9SXT3,Bos taurus
A0AAA9T809,unresolved_or_inactive
A0AAF6YL92,Bos taurus
A0AAF6Z4R2,Bos taurus
A0AAJ7KRG4,unresolved_or_inactive
A0AAJ7KVD3,unresolved_or_inactive
A0AAQ4QLH2,Gasterosteus aculeatus aculeatus
A0AAQ4S704,Gasterosteus aculeatus aculeatus
A0AAX6P565,Heterocephalus glaber
A0AAX6QXV7,Heterocephalus glaber
A0AAX6R8U8,Heterocephalus glaber
A0AAX6T3N2,Heterocephalus glaber
A0AAX6TJF6,Heterocephalus glaber
A0AV02,Homo sapiens
A0AVK6,Homo sapiens
A1L0T0,Homo sapiens
A1XBS5,Homo sapiens
A2A3K4,Homo sapiens
A2RU49,Homo sapiens
A2RUB6,Homo sapiens
A2RUS2,Homo sapiens
A2VDJ0,Homo sapiens
A4D161,Homo sapiens
A4IHA8,Xenopus tropicalis
A5A8X6,Sus scrofa
A5YM72,Homo sapiens
A6BM72,Homo sapiens
A6HCI0,Rattus norvegicus
A6HTM1,Rattus norvegicus
A6HXN6,Rattus norvegicus
A6I004,Rattus norvegicus
A6I8X0,Rattus norvegicus
A6IRN8,Rattus norvegicus
A6KM62,Rattus norvegicus
A6KPN3,Rattus norvegicus
A6KTL2,Rattus norvegicus
A6KUJ4,Rattus norvegicus
A6NFA1,Homo sapiens
A6NK06,Homo sapiens
A6NMY6,Homo sapiens
A7KAX9,Homo sapiens
A8B6H7,Danio rerio
A8CG34,Homo sapiens
A8K7I4,Homo sapiens
A8MTJ3,Homo sapiens
A8MTQ0,Homo sapiens
A8WH04,Xenopus tropicalis
A9UF02,Homo sapiens
B0I1T2,Homo sapiens
B0JYZ1,Xenopus tropicalis
B0YJ81,Homo sapiens
B3EWF7,Homo sapiens
B4DN44,Homo sapiens
B4DV73,Homo sapiens
B4DYU5,Homo sapiens
B7Z344,Homo sapiens
C9JE40,Homo sapiens
C9JFR5,Homo sapiens
D2H833,Ailuropoda melanoleuca
D2HWM2,Ailuropoda melanoleuca
E9Q060,Mus musculus
F6PXM2,Xenopus tropicalis
F6QEC0,Ornithorhynchus anatinus
F6QIF2,Bos taurus
F6QIP1,Monodelphis domestica
F6R6N6,Monodelphis domestica
F6RAC3,Equus caballus
F6REA1,Monodelphis domestica
F6SIC0,Ornithorhynchus anatinus
F6SP99,Monodelphis domestica
F6SPA7,Monodelphis domestica
F6TFD4,Monodelphis domestica
F6TH76,Ornithorhynchus anatinus
F6U6U5,Mus musculus
F6V0M7,Xenopus tropicalis
F6VPW1,Monodelphis domestica
F6VUS0,Monodelphis domestica
F6WZU1,Equus caballus
F6Y1D5,Ornithorhynchus anatinus
F6YT00,Ornithorhynchus anatinus
F7A6V5,Xenopus tropicalis
F7A804,Xenopus tropicalis
F7AGT0,Ornithorhynchus anatinus
F7AZ24,Xenopus tropicalis
F7BI45,Xenopus tropicalis
F7BQD1,Monodelphis domestica
F7BT58,Xenopus tropicalis
F7DFI8,Xenopus tropicalis
F7DKY8,Ornithorhynchus anatinus
F7E1G5,Equus caballus
F7EA39,Xenopus tropicalis
F7ETW9,Monodelphis domestica
F7FVT2,Ornithorhynchus anatinus
F7G957,Monodelphis domestica
F7GKY9,Monodelphis domestica
F7GNY2,Callithrix jacchus
G1FG63,Capra hircus
G1KG01,Anolis carolinensis
G1KIQ9,Anolis carolinensis
G1KJ20,Anolis carolinensis
G1KM54,Anolis carolinensis
G1KRJ4,Anolis carolinensis
G1LL76,Ailuropoda melanoleuca
G1LQP9,Ailuropoda melanoleuca
G1LZ01,Ailuropoda melanoleuca
G1LZV6,Ailuropoda melanoleuca
G1NUW3,Myotis lucifugus
G1NW15,Myotis lucifugus
G1NWW5,Myotis lucifugus
G1P8J8,Myotis lucifugus
G1PII0,Myotis lucifugus
G1PIM2,Myotis lucifugus
G1PIR0,Myotis lucifugus
G1PT53,Myotis lucifugus
G1Q2D0,Myotis lucifugus
G1Q2R8,Myotis lucifugus
G1QNK6,Nomascus leucogenys
G1QPT6,Nomascus leucogenys
G1QXR7,Nomascus leucogenys
G1RAY1,Nomascus leucogenys
G1RZX2,Nomascus leucogenys
G1SER2,Oryctolagus cuniculus
G1SF53,Oryctolagus cuniculus
G1SQS2,Oryctolagus cuniculus
G1SSD1,Oryctolagus cuniculus
G1SX27,Oryctolagus cuniculus
G1T041,Oryctolagus cuniculus
G1T7C4,Oryctolagus cuniculus
G1TEC0,Oryctolagus cuniculus
G1TGR7,Oryctolagus cuniculus
G1TJG3,Oryctolagus cuniculus
G1U1F6,Oryctolagus cuniculus
G3GY15,Cricetulus griseus
G3H045,Cricetulus griseus
G3HYS3,Cricetulus griseus
G3I039,Cricetulus griseus
G3I0J4,Cricetulus griseus
G3ICI9,Cricetulus griseus
G3IEF2,Cricetulus griseus
G3IET5,Cricetulus griseus
G3IJ44,Cricetulus griseus
G3NGZ2,Gasterosteus aculeatus
G3NYE3,Gasterosteus aculeatus
G3NZC3,Gasterosteus aculeatus
G3PG35,Gasterosteus aculeatus
G3PVW0,Gasterosteus aculeatus
G3PZJ7,Gasterosteus aculeatus
G3Q4B6,Gasterosteus aculeatus
G3Q5X2,Gasterosteus aculeatus
G3Q8B3,Gasterosteus aculeatus
G3Q9A0,Gasterosteus aculeatus
G3SK29,Gorilla gorilla gorilla
G3SLJ4,Loxodonta africana
G3SYP8,Loxodonta africana
G3T7B2,Loxodonta africana
G3TQ11,Loxodonta africana
G3TTJ9,Loxodonta africana
G3U0G2,Loxodonta africana
G3U0Q3,Loxodonta africana
G3U0V7,Loxodonta africana
G3U6I1,Loxodonta africana
G3U6M9,Loxodonta africana
G3U7W1,Loxodonta africana
G3UAZ2,Loxodonta africana
